dt,source,domain,url,title,summary,image,brief,body,raw_page,from
,中安在线,,http://cul.anhuinews.com/,徽文化频道-中安在线,,,"中安在线徽文化频道下设文坛皖军、安徽作家、徽学研究、徽州女人、戏曲名家、安徽
名产等多个栏目，“打好徽州文化的世界品牌”。",,,
2017-01-25,中安在线,,http://cul.anhuinews.com/system/2017/01/25/007553182.shtml,天长小记者寻访“天官画”传承徽文化中安在线-徽文化频道,,," 天长天官画起源于东晋中期，兴盛于清朝、民国时期，2008年入选《安徽省第二批省
级非物质文化遗产名录》，与凤阳的凤画、灵璧的钟馗画并称'皖 ",,,
2016-5-23,中安在线,,http://cul.anhuinews.com/system/2016/05/23/007355141.shtml,徽文化“动起来”:推动徽文化走向世界中安在线-徽文化频道,,," 徽文化是我国优秀传统文化的代表，其独特的地域特征、深厚的历史底蕴、丰富的
形式内容，使其成为我国文化对外传播的重要载体。在全球化背景 ",,,
2017-1-16,中安在线,,http://cul.anhuinews.com/system/2017/01/16/007546338.shtml,三阳古徽州的“微型读本” 中安在线-徽文化频道,,," 古村古建筑、徽商徽文化，无疑是古徽州的代表性元素。走进歙县三阳镇，从村落布局
、民居建筑，到人文历史、民俗风情，这里都堪称浓缩版的徽州， ",,,
2016-11-29,中安在线,,http://cul.anhuinews.com/system/2016/11/29/007516124.shtml,中安在线－徽文化,,," 11月26日至27日，2016年安徽省徽学学会学术年会暨“传承与创新：文化徽州与当代
中国”学术研讨会在黄山学院举行，省委讲师团团长、省徽学会 ",,,
2016-12-13,中安在线,,http://cul.anhuinews.com/system/2016/12/13/007525809.shtml,30余位中外书画家安徽体验“徽文化” 中安在线-徽文化频道,,," 12月9日至10日，来自中国、俄罗斯、印度、印度尼西亚、意大利、新加坡、日本和美国
等十多个国家和地区的30余位书画家应邀赴皖南体验“徽文化”。",,,
2016-10-18,中安在线,,http://cul.anhuinews.com/system/2016/10/18/007484555.shtml,“徽州文化”行走课堂走进徽博中安在线-徽文化频道,,," 10月14日至17日，浙江省宁波第四中学高一文创班“徽州文化”行走课堂课题组36名
学员赴黄山市，开展为期四天的研学旅行活动。10月16日下午，“ ",,,
2016-11-28,中安在线,,http://cul.anhuinews.com/system/2016/11/28/007515276.shtml,洪建华夫妇的竹刻人生中安在线-徽文化频道,,," 谁能想到，洪建华夫妇这对一无学历、二无家传、三无师承的“三无大师”成了省级非
物质文化遗产·徽派竹雕传承人；谁又能想到，他们投资建设的徽派 ",,,
2017-1-20,中安在线,,http://cul.anhuinews.com/system/2017/01/20/007549875.shtml,亳州市:惠民大戏进万村中安在线-徽文化频道,,," 1月17日，在亳州市谯城区古井镇王辛庄村，谯城区梆剧团的演员为群众演出传统
戏曲。当日，省文化惠民工程、亳州市谯城区2017年“送戏进万村” ",,,
2017-01-25,中安在线,,http://cul.anhuinews.com/system/2017/01/25/007553200.shtml,传统技艺之定远花布印染中安在线-徽文化频道,,," 由于池河是我县古镇之一，水陆交通便利，是手工业巧匠聚集之地。花布印染历史
悠久，具体传入我县已无法考证，最鼎盛时期是清末至解放初，以刘 ",,,
2017-1-16,中安在线,,http://cul.anhuinews.com/system/2017/01/16/007546458.shtml,阜阳市:家门口看大戏中安在线-徽文化频道,,," 进入冬季，阜阳市演艺集团采取“政府埋单、剧团唱戏、群众受惠”的方式，开展送戏到
城乡文化惠民活动，组织一批群众喜闻乐见的传统剧目送到百姓 ",,,
2017-1-16,中安在线,,http://cul.anhuinews.com/system/2017/01/16/007546423.shtml,民俗艺人岁末“暖场” 中安在线-徽文化频道,,," 临近春节，商圈、景区等场所的“民俗集市”愈发热闹——十八般武艺：老民俗艺人，或
走街串巷、或天桥卖艺，本身就是那些年代他们赖以生存的形式。",,,
2017-1-16,中安在线,,http://cul.anhuinews.com/system/2017/01/16/007546407.shtml,正大气象《三人行》 中安在线-徽文化频道,,," 我珍藏的长卷中国画《三人行》，纵40厘米，横510厘米，系我省著名画家张建中、郭公
达、叶家和三位先生的联袂之作。我与这三位大家相识、相交、 ",,,
2016-2-6,中安在线,,http://cul.anhuinews.com/system/2016/02/06/007211125.shtml,徽墨：传播徽文化的最早使者徽文化频道中安在线,,," 在历史的长河中，徽墨是传播徽文化的最早使者。史载，徽墨始祖本姓奚。据《徽州府
志》记载，唐末年间，河北易州墨工奚超，因避战乱携全家逃难至 ",,,
2015-12-29,中安在线,,http://cul.anhuinews.com/system/2015/12/29/007153575.shtml,深圳市徽文化研究会成立(组图) 徽文化频道中安在线,,," 12月26日，深圳市徽文化研究会在深圳学苑宾馆召开第一次会员大会，选举产生了第
一届理事会成员，逾百名社会各界精英人士和安徽、海南等地 ",,,
2016-3-31,中安在线,,http://cul.anhuinews.com/system/2016/03/31/007286355.shtml,《徽州文化大辞典》首发式举行（图） 中安在线-徽文化频道,,," 《徽州文化大辞典》. 3月29日上午，《徽州文化大辞典》首发式在黄山市举行。这也是
黄山市乃至安徽省首次出版《大辞典》类型的徽州文化巨著，填补了 ",,,
2017-1-22,中安在线,,http://cul.anhuinews.com/system/2017/01/22/007550907.shtml,庐州四大楼百年风云中安在线-徽文化频道,,," 提到合肥“四大楼”，或许很多年轻人闻所未闻，但在老合肥人心中，却有着极重的位置
。它就是过去有特色、服务好，而又价格公道的佛照楼、会宾楼、 ",,,
2016-8-5,中安在线,,http://cul.anhuinews.com/system/2016/08/05/007429571.shtml,海归人士子女体验“徽文化”（组图） 中安在线-徽文化频道,,," 海归人士子女体验“徽文化”夏令营开营仪式现场，赵强摄. 海归人士子女体验中国
剪纸艺术，赵强摄. “我比较喜欢建筑设计，如果有机会出国，我想把 ",,,
2016-8-12,中安在线,,http://cul.anhuinews.com/system/2016/08/12/007435272.shtml,安徽国家重点文物保护专项资金分配(表) 中安在线-徽文化频道,,," 近日，安徽省财政厅下达2016年国家重点文物保护专项资金，共计2.9亿元。其中西
递村古建筑群消防工程2159万元、繁昌窑遗址龙窑保护展示 ",,,
2016-7-27,中安在线,,http://cul.anhuinews.com/system/2016/07/27/007420773.shtml,26个国家青年汉学家来安徽考察徽州文化(图) 中安在线-徽文化频道,,," 7月17日至20日，参加文化部、中国社会科学院联合主办的2016“青年汉学家研修
计划”学员班的国外汉学专家，在安徽黄山考察中华历史文化和中国 ",,,
2017-01-28,中安在线,,http://cul.anhuinews.com/system/2017/01/28/007554233.shtml,黄梅戏亮相央视春晚，博得阵阵喝彩中安在线-徽文化频道,,," 为救李郎离家园，谁料皇榜中状元……”《女驸马》算得上是黄梅戏的“看家戏”，更是
家喻户晓的名剧。 1月27日晚，农历除夕，年夜饭后家家户户守在 ",,,
2016-11-1,中安在线,,http://cul.anhuinews.com/system/2016/11/01/007495930.shtml,第六届中国徽菜博览会开幕中安在线-徽文化频道,,," 中国徽菜博览会之前已成功举办过五届，是安徽省委宣传部文化惠民消费季省直重点
项目，是商务部2015推荐的全国会展业优秀项目，也是安徽餐饮 ",,,
2016-1-7,中安在线,,http://cul.anhuinews.com/system/2016/01/07/007166350.shtml,徽学、徽文化不应受地域影响徽文化频道中安在线,,," 徽学以徽文化为研究对象，有人把徽学界定为地方学，显然是受到徽文化具有特定
地域性的影响。 ”黄山学院副教授胡家俊是徽学研究爱好者，他关注 ",,,
2016-11-17,中安在线,,http://cul.anhuinews.com/system/2016/11/17/007508029.shtml,贾道儒行竹雕人中安在线-徽文化频道,,," 几年前，就在央视等多家媒体的聚焦之下，“竹艺轩”逐渐走进了人们的视野，绚丽的
光环里有朱氏两兄弟的希望和梦想，也折射出徽州工匠的不懈追求 ",,,
2016-5-12,中安在线,,http://cul.anhuinews.com/system/2016/05/12/007342647.shtml,歙县徽班纪念馆展示、传承徽文化（图） 中安在线-徽文化频道,,," 中安在线讯据黄山在线报道，徽剧脸谱、徽剧剧本、徽剧戏服、工尺谱……如今，歙县
徽班纪念馆已成为歙县展示徽文化的一大亮丽窗口，亦是外地 ",,,
2016-11-3,中安在线,,http://cul.anhuinews.com/system/2016/11/03/007497415.shtml,吴成林让徽墨飘香四海中安在线-徽文化频道,,," 一豆灯火，一缕青烟，覆碗收烟，集烟制墨。来到位于205国道徽州区与歙县交界处
附近的徽州曹素功墨厂，可以一睹省级非物质文化遗产项目徽墨 ",,,
2016-11-22,中安在线,,http://cul.anhuinews.com/system/2016/11/22/007511083.shtml,探秘“超级宣纸”制作工艺中安在线-徽文化频道,,," 11月21日，在“超级宣纸”生产车间，工人在进行放帘作业。近日，位于“中国宣纸之乡”
安徽泾县的中国宣纸股份有限公司再次启动“三丈三超级宣纸”的 ",,,
2016-2-3,中安在线,,http://cul.anhuinews.com/system/2016/02/03/007205404.shtml,黄山创新推动徽文化保护传承徽文化频道中安在线,,," 记者从日前召开的黄山市六届人大六次会议上了解到，“十三五”期间，该市在继续
推进徽州古建筑保护利用工程的同时，将实施徽文化资源保护传承 ",,,
2016-8-22,中安在线,,http://cul.anhuinews.com/system/2016/08/22/007442361.shtml,近40位海外文化侨社负责人赴皖体验“徽文化” 中安在线-徽文化频道,,," 据安徽省外侨办主任王信介绍，“徽文化”也称徽州文化，是一个极具地方特色的区域
文化，其内容广博、深邃，有整体系列性等特点。“本次到访安徽的 ",,,
2016-11-7,中安在线,,http://cul.anhuinews.com/system/2016/11/07/007499761.shtml,休宁：特色民俗引客来中安在线-徽文化频道,,," 特色民俗引客来. 黄山新闻网11月7日讯(汪红兴)11月5日，休宁县溪口镇木梨硔村民
在打糍粑，不少游客参与其中并购买。 该村是地处高山的中国 ",,,
